source_session_id,source_csv,activity,label,outer_fold,clip_length_frames,clip_start_row,clip_end_row_exclusive,clip_start_s,clip_end_s,event_start_s,impact_s,event_end_s,pre_event_context_s,requested_post_impact_s,physical_post_impact_s,padding_left_frames,padding_right_frames,valid_frames,annotation_confidence,quality_flags,sampling_rule
falling_20260714_161434_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161434_20hz.csv,fall,3,1,60,40,100,2.0,5.0,2.85,4.0,4.5,0.8500000000000001,1.0,0.6500000000000004,0,7,53,medium,event_near_recording_boundary;geometry_edge_warning;weak_height_evidence,impact_plus_1s
falling_20260714_161551_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161551_20hz.csv,fall,3,1,60,22,82,1.1,4.1,2.2,3.1,3.6,1.1,1.0,0.8999999999999999,0,2,58,medium,geometry_edge_warning,impact_plus_1s
falling_20260714_161632_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161632_20hz.csv,fall,3,3,60,5,65,0.25,3.25,1.15,2.25,3.35,0.8999999999999999,1.0,1.0,0,0,60,medium,geometry_edge_warning,impact_plus_1s
falling_20260715_135643_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135643_20hz.csv,fall,3,2,60,15,75,0.75,3.75,2.35,2.75,3.75,1.6,1.0,1.0,0,0,60,medium,geometry_edge_warning,impact_plus_1s
falling_20260715_135656_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135656_20hz.csv,fall,3,3,60,25,85,1.25,4.25,2.15,3.25,4.0,0.8999999999999999,1.0,0.7999999999999998,0,4,56,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;multiple_or_broad_peaks;weak_height_evidence,impact_plus_1s
falling_20260715_135739_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135739_20hz.csv,fall,3,4,60,20,80,1.0,4.0,2.45,3.0,4.0,1.4500000000000002,1.0,1.0,0,0,60,medium,geometry_edge_warning,impact_plus_1s
falling_20260715_135815_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135815_20hz.csv,fall,3,4,60,29,89,1.45,4.45,2.35,3.45,4.35,0.9000000000000001,1.0,0.9500000000000002,0,1,59,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,impact_plus_1s
falling_20260715_135901_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135901_20hz.csv,fall,3,1,60,23,83,1.15,4.15,2.05,3.15,4.25,0.8999999999999999,1.0,1.0,0,0,60,medium,geometry_edge_warning;weak_height_evidence,impact_plus_1s
falling_20260715_135915_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135915_20hz.csv,fall,3,3,60,-11,49,-0.55,2.45,0.85,1.45,1.95,1.4,1.0,1.0,11,0,49,medium,geometry_edge_warning;multiple_or_broad_peaks,impact_plus_1s
falling_20260715_140019_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140019_20hz.csv,fall,3,4,60,-8,52,-0.4,2.6,0.5,1.6,2.7,0.9,1.0,1.0,8,0,52,medium,geometry_edge_warning,impact_plus_1s
falling_20260715_140220_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140220_20hz.csv,fall,3,2,60,0,60,0.0,3.0,0.9,2.0,3.1,0.9,1.0,1.0,0,0,60,medium,geometry_edge_warning,impact_plus_1s
falling_20260715_140305_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140305_20hz.csv,fall,3,1,60,-6,54,-0.3,2.7,1.2,1.7,2.2,1.5,1.0,1.0,6,0,54,medium,geometry_edge_warning,impact_plus_1s
falling_20260715_140329_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140329_20hz.csv,fall,3,2,60,-13,47,-0.65,2.35,0.25,1.35,2.45,0.9,1.0,1.0,13,0,47,medium,geometry_edge_warning,impact_plus_1s
falling_20260715_140506_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140506_20hz.csv,fall,3,3,60,-30,30,-1.5,1.5,0.0,0.5,1.5,1.5,1.0,1.0,30,0,30,medium,event_near_recording_boundary;weak_height_evidence,impact_plus_1s
falling_20260715_140533_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140533_20hz.csv,fall,3,4,60,16,76,0.8,3.8,1.15,2.8,3.3,0.34999999999999987,1.0,1.0,0,0,60,medium,geometry_edge_warning,impact_plus_1s
falling_20260715_140548_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140548_20hz.csv,fall,3,1,60,36,96,1.8,4.8,2.0,3.8,4.15,0.19999999999999996,1.0,0.40000000000000036,0,12,48,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,impact_plus_1s
falling_20260715_140602_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140602_20hz.csv,fall,3,4,60,41,101,2.05,5.05,2.9,4.05,4.6,0.8500000000000001,1.0,0.6000000000000005,0,8,52,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,impact_plus_1s
falling_20260715_141456_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141456_20hz.csv,fall,3,2,60,-4,56,-0.2,2.8,0.7,1.8,2.9,0.8999999999999999,1.0,1.0,4,0,56,medium,geometry_edge_warning,impact_plus_1s
falling_20260715_141624_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141624_20hz.csv,fall,3,3,60,-10,50,-0.5,2.5,0.55,1.5,2.25,1.05,1.0,1.0,10,0,50,medium,geometry_edge_warning,impact_plus_1s
falling_20260715_141756_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141756_20hz.csv,fall,3,3,60,17,77,0.85,3.85,2.35,2.85,4.05,1.5,1.0,1.0,0,0,60,high,none,impact_plus_1s
falling_20260715_141826_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141826_20hz.csv,fall,3,1,60,22,82,1.1,4.1,2.35,3.1,3.6,1.25,1.0,1.0,0,0,60,high,none,impact_plus_1s
falling_20260715_141852_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141852_20hz.csv,fall,3,2,60,24,84,1.2,4.2,2.1,3.2,4.3,0.9000000000000001,1.0,1.0,0,0,60,high,none,impact_plus_1s
falling_20260715_141918_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141918_20hz.csv,fall,3,4,60,13,73,0.65,3.65,2.15,2.65,3.65,1.5,1.0,1.0,0,0,60,high,none,impact_plus_1s
falling_20260715_141936_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141936_20hz.csv,fall,3,2,60,8,68,0.4,3.4,1.3,2.4,3.5,0.9,1.0,1.0,0,0,60,high,none,impact_plus_1s
falling_20260715_142008_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142008_20hz.csv,fall,3,3,60,39,99,1.95,4.95,2.35,3.95,4.4,0.40000000000000013,1.0,0.9500000000000002,0,1,59,high,none,impact_plus_1s
falling_20260715_142031_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142031_20hz.csv,fall,3,4,60,0,60,0.0,3.0,0.9,2.0,3.1,0.9,1.0,1.0,0,0,60,high,none,impact_plus_1s
falling_20260715_142055_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142055_20hz.csv,fall,3,2,60,55,115,2.75,5.75,2.85,4.75,4.95,0.10000000000000009,1.0,0.25,0,15,45,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,impact_plus_1s
falling_20260715_142152_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142152_20hz.csv,fall,3,3,60,-27,33,-1.35,1.65,0.25,0.65,1.2,1.6,1.0,1.0,27,0,33,medium,geometry_edge_warning,impact_plus_1s
falling_20260715_142600_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142600_20hz.csv,fall,3,4,60,37,97,1.85,4.85,2.2,3.85,4.35,0.3500000000000001,1.0,0.8999999999999999,0,2,58,medium,geometry_edge_warning,impact_plus_1s
falling_20260715_142652_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142652_20hz.csv,fall,3,1,60,12,72,0.6,3.6,1.5,2.6,3.7,0.9,1.0,1.0,0,0,60,medium,geometry_edge_warning,impact_plus_1s
falling_20260715_142728_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142728_20hz.csv,fall,3,1,60,14,74,0.7,3.7,1.6,2.7,3.8,0.9000000000000001,1.0,1.0,0,0,60,medium,geometry_edge_warning,impact_plus_1s
falling_20260715_142807_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142807_20hz.csv,fall,3,2,60,10,70,0.5,3.5,1.4,2.5,3.6,0.8999999999999999,1.0,1.0,0,0,60,medium,geometry_edge_warning,impact_plus_1s
falling_20260715_142944_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142944_20hz.csv,fall,3,3,60,-19,41,-0.95,2.05,0.6,1.05,1.65,1.5499999999999998,1.0,1.0,19,0,41,medium,geometry_edge_warning;multiple_or_broad_peaks,impact_plus_1s
falling_20260715_143008_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143008_20hz.csv,fall,3,1,60,-3,57,-0.15,2.85,0.75,1.85,2.95,0.9,1.0,1.0,3,0,57,medium,geometry_edge_warning;multiple_or_broad_peaks,impact_plus_1s
falling_20260715_143227_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143227_20hz.csv,fall,3,2,60,14,74,0.7,3.7,2.2,2.7,3.2,1.5000000000000002,1.0,1.0,0,0,60,high,none,impact_plus_1s
falling_20260715_143326_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143326_20hz.csv,fall,3,3,60,28,88,1.4,4.4,2.85,3.4,4.15,1.4500000000000002,1.0,0.8000000000000003,0,4,56,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,impact_plus_1s
falling_20260715_143341_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143341_20hz.csv,fall,3,4,60,17,77,0.85,3.85,1.75,2.85,3.25,0.9,1.0,0.44999999999999973,0,11,49,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,impact_plus_1s
falling_20260715_143405_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143405_20hz.csv,fall,3,1,60,21,81,1.05,4.05,2.55,3.05,3.6,1.4999999999999998,1.0,0.6000000000000001,0,8,52,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,impact_plus_1s
falling_20260715_143422_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143422_20hz.csv,fall,3,3,60,11,71,0.55,3.55,2.1,2.55,3.55,1.55,1.0,1.0,0,0,60,medium,geometry_edge_warning,impact_plus_1s
falling_20260717_140851_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_140851_20hz.csv,fall,3,2,60,-1,59,-0.05,2.95,0.85,1.95,3.05,0.9,1.0,1.0,1,0,59,medium,geometry_edge_warning;multiple_or_broad_peaks,impact_plus_1s
falling_20260717_140959_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_140959_20hz.csv,fall,3,4,60,1,61,0.05,3.05,0.95,2.05,3.15,0.8999999999999999,1.0,1.0,0,0,60,medium,geometry_edge_warning,impact_plus_1s
falling_20260717_141137_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141137_20hz.csv,fall,3,1,60,-1,59,-0.05,2.95,0.85,1.95,3.05,0.9,1.0,1.0,1,0,59,medium,geometry_edge_warning,impact_plus_1s
falling_20260717_141220_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141220_20hz.csv,fall,3,2,60,-7,53,-0.35,2.65,0.55,1.65,2.75,0.9,1.0,1.0,7,0,53,medium,geometry_edge_warning,impact_plus_1s
falling_20260717_141339_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141339_20hz.csv,fall,3,3,60,14,74,0.7,3.7,1.6,2.7,3.4,0.9000000000000001,1.0,0.75,0,5,55,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,impact_plus_1s
falling_20260717_141634_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141634_20hz.csv,fall,3,4,60,-12,48,-0.6,2.4,0.3,1.4,2.5,0.8999999999999999,1.0,1.0,12,0,48,medium,geometry_edge_warning,impact_plus_1s
falling_20260717_141837_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141837_20hz.csv,fall,3,1,60,24,84,1.2,4.2,2.1,3.2,4.3,0.9000000000000001,1.0,1.0,0,0,60,medium,geometry_edge_warning;weak_height_evidence,impact_plus_1s
falling_20260717_142021_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142021_20hz.csv,fall,3,3,60,-10,50,-0.5,2.5,0.4,1.5,2.6,0.9,1.0,1.0,10,0,50,medium,geometry_edge_warning,impact_plus_1s
falling_20260717_142033_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142033_20hz.csv,fall,3,4,60,-24,36,-1.2,1.8,0.3,0.8,1.3,1.5,1.0,1.0,24,0,36,medium,geometry_edge_warning,impact_plus_1s
falling_20260717_142102_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142102_20hz.csv,fall,3,1,60,12,72,0.6,3.6,1.5,2.6,3.7,0.9,1.0,1.0,0,0,60,medium,geometry_edge_warning;multiple_or_broad_peaks,impact_plus_1s
falling_20260717_142243_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142243_20hz.csv,fall,3,2,60,-25,35,-1.25,1.75,0.45,0.75,2.1,1.7,1.0,1.0,25,0,35,high,none,impact_plus_1s
falling_20260717_142341_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142341_20hz.csv,fall,3,3,60,-18,42,-0.9,2.1,0.55,1.1,2.1,1.4500000000000002,1.0,1.0,18,0,42,medium,geometry_edge_warning,impact_plus_1s
falling_20260717_142423_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142423_20hz.csv,fall,3,4,60,7,67,0.35,3.35,0.7,2.35,2.7,0.35,1.0,1.0,0,0,60,medium,geometry_edge_warning,impact_plus_1s
falling_20260717_142618_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142618_20hz.csv,fall,3,1,60,-5,55,-0.25,2.75,0.65,1.75,2.85,0.9,1.0,1.0,5,0,55,medium,geometry_edge_warning;multiple_or_broad_peaks,impact_plus_1s
falling_20260717_142754_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142754_20hz.csv,fall,3,2,60,-15,45,-0.75,2.25,0.5,1.25,2.25,1.25,1.0,1.0,15,0,45,medium,geometry_edge_warning,impact_plus_1s
falling_20260717_142808_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142808_20hz.csv,fall,3,3,60,1,61,0.05,3.05,0.95,2.05,3.15,0.8999999999999999,1.0,1.0,0,0,60,medium,geometry_edge_warning,impact_plus_1s
falling_20260717_142825_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142825_20hz.csv,fall,3,3,60,47,107,2.35,5.35,3.15,4.35,4.75,0.7999999999999998,1.0,0.4500000000000002,0,11,49,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,impact_plus_1s
falling_20260717_143032_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_143032_20hz.csv,fall,3,4,60,-36,24,-1.8,1.2,0.0,0.2,0.8,1.8,1.0,1.0,36,0,24,medium,event_near_recording_boundary;weak_height_evidence,impact_plus_1s
falling_20260717_143219_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_143219_20hz.csv,fall,3,2,60,-3,57,-0.15,2.85,0.75,1.85,2.95,0.9,1.0,1.0,3,0,57,medium,geometry_edge_warning,impact_plus_1s
falling_20260717_143235_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_143235_20hz.csv,fall,3,1,60,1,61,0.05,3.05,0.95,2.05,3.15,0.8999999999999999,1.0,1.0,0,0,60,medium,geometry_edge_warning;multiple_or_broad_peaks,impact_plus_1s
falling_20260717_144138_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_144138_20hz.csv,fall,3,3,60,26,86,1.3,4.3,2.2,3.3,4.4,0.9000000000000001,1.0,1.0,0,0,60,medium,geometry_edge_warning;multiple_or_broad_peaks,impact_plus_1s
falling_20260717_144308_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_144308_20hz.csv,fall,3,4,60,8,68,0.4,3.4,1.05,2.4,2.85,0.65,1.0,1.0,0,0,60,medium,geometry_edge_warning;multiple_or_broad_peaks,impact_plus_1s
sitting_20260714_132627_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132627_20hz.csv,sitting,2,1,60,15,75,0.75,3.75,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_132742_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132742_20hz.csv,sitting,2,2,60,0,60,0.0,3.0,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_132755_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132755_20hz.csv,sitting,2,4,60,0,60,0.0,3.0,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_132815_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132815_20hz.csv,sitting,2,1,60,15,75,0.75,3.75,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_132832_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132832_20hz.csv,sitting,2,2,60,15,75,0.75,3.75,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_132843_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132843_20hz.csv,sitting,2,4,60,0,60,0.0,3.0,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_132855_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132855_20hz.csv,sitting,2,4,60,30,90,1.5,4.5,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_132908_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132908_20hz.csv,sitting,2,3,60,0,60,0.0,3.0,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_132919_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132919_20hz.csv,sitting,2,1,60,15,75,0.75,3.75,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_132930_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132930_20hz.csv,sitting,2,2,60,0,60,0.0,3.0,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133248_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133248_20hz.csv,sitting,2,2,60,30,90,1.5,4.5,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133300_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133300_20hz.csv,sitting,2,3,60,0,60,0.0,3.0,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133310_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133310_20hz.csv,sitting,2,3,60,30,90,1.5,4.5,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133320_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133320_20hz.csv,sitting,2,3,60,15,75,0.75,3.75,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133331_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133331_20hz.csv,sitting,2,4,60,15,75,0.75,3.75,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133341_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133341_20hz.csv,sitting,2,3,60,30,90,1.5,4.5,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133400_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133400_20hz.csv,sitting,2,1,60,30,90,1.5,4.5,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133416_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133416_20hz.csv,sitting,2,4,60,0,60,0.0,3.0,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133425_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133425_20hz.csv,sitting,2,1,60,0,60,0.0,3.0,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133632_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133632_20hz.csv,sitting,2,2,60,30,90,1.5,4.5,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133641_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133641_20hz.csv,sitting,2,4,60,0,60,0.0,3.0,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133652_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133652_20hz.csv,sitting,2,3,60,15,75,0.75,3.75,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133702_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133702_20hz.csv,sitting,2,2,60,15,75,0.75,3.75,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133712_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133712_20hz.csv,sitting,2,1,60,0,60,0.0,3.0,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133722_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133722_20hz.csv,sitting,2,3,60,0,60,0.0,3.0,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133732_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133732_20hz.csv,sitting,2,1,60,0,60,0.0,3.0,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133750_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133750_20hz.csv,sitting,2,1,60,15,75,0.75,3.75,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133800_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133800_20hz.csv,sitting,2,4,60,0,60,0.0,3.0,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133810_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133810_20hz.csv,sitting,2,4,60,15,75,0.75,3.75,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_133940_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133940_20hz.csv,sitting,2,2,60,0,60,0.0,3.0,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_134228_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134228_20hz.csv,sitting,2,4,60,30,90,1.5,4.5,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_134237_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134237_20hz.csv,sitting,2,3,60,30,90,1.5,4.5,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_134257_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134257_20hz.csv,sitting,2,1,60,0,60,0.0,3.0,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_134510_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134510_20hz.csv,sitting,2,2,60,15,75,0.75,3.75,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_134524_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134524_20hz.csv,sitting,2,3,60,15,75,0.75,3.75,,,,,,,0,0,60,,,sha256_seed42_stride15
sitting_20260714_134543_20hz,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134543_20hz.csv,sitting,2,4,60,0,60,0.0,3.0,,,,,,,0,0,60,,,sha256_seed42_stride15
