index,split,label,activity,source_activity,session_id,source_csv,start_frame,end_frame,label_source,event_phase,include_in_training,overlap_seconds,overlap_fraction,window_start_s,window_end_s,exclude_reason,annotation_confidence,quality_flags,method_version
24,train,3,fall,fall,fall__falling_20260714_161242_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161242_20hz.csv,15,44,event_metadata,fall_event,True,1.100000023841858,0.7333333492279053,0.75,2.25,,medium,event_near_recording_boundary,auto_event_heuristic_v1
29,train,1,standing,fall,fall__falling_20260714_161412_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161412_20hz.csv,0,29,event_metadata,pre_event,True,0.0,0.0,0.0,1.5,,medium,multiple_or_broad_peaks,auto_event_heuristic_v1
30,train,1,standing,fall,fall__falling_20260714_161412_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161412_20hz.csv,15,44,event_metadata,pre_event,True,0.0,0.0,0.75,2.25,,medium,multiple_or_broad_peaks,auto_event_heuristic_v1
31,train,3,fall,fall,fall__falling_20260714_161412_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161412_20hz.csv,45,74,event_metadata,fall_event,True,1.0,0.6666666865348816,2.25,3.75,,medium,multiple_or_broad_peaks,auto_event_heuristic_v1
32,train,1,standing,fall,fall__falling_20260714_161434_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161434_20hz.csv,0,29,event_metadata,pre_event,True,0.0,0.0,0.0,1.5,,medium,event_near_recording_boundary;geometry_edge_warning;weak_height_evidence,auto_event_heuristic_v1
33,train,1,standing,fall,fall__falling_20260714_161434_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161434_20hz.csv,15,44,event_metadata,pre_event,True,0.0,0.0,0.75,2.25,,medium,event_near_recording_boundary;geometry_edge_warning;weak_height_evidence,auto_event_heuristic_v1
48,train,1,standing,fall,fall__falling_20260715_135815_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135815_20hz.csv,0,29,event_metadata,pre_event,True,0.0,0.0,0.0,1.5,,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
49,train,1,standing,fall,fall__falling_20260715_135815_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135815_20hz.csv,15,44,event_metadata,pre_event,True,0.0,0.0,0.75,2.25,,medium,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
50,train,1,standing,fall,fall__falling_20260715_135901_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135901_20hz.csv,0,29,event_metadata,pre_event,True,0.0,0.0,0.0,1.5,,medium,geometry_edge_warning;weak_height_evidence,auto_event_heuristic_v1
51,train,3,fall,fall,fall__falling_20260715_135915_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135915_20hz.csv,15,44,event_metadata,fall_event,True,1.100000023841858,0.7333333492279053,0.75,2.25,,medium,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1
59,train,3,fall,fall,fall__falling_20260715_140329_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140329_20hz.csv,0,29,event_metadata,fall_event,True,1.25,0.8333333134651184,0.0,1.5,,medium,geometry_edge_warning,auto_event_heuristic_v1
60,train,3,fall,fall,fall__falling_20260715_140329_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140329_20hz.csv,15,44,event_metadata,fall_event,True,1.5,1.0,0.75,2.25,,medium,geometry_edge_warning,auto_event_heuristic_v1
61,train,3,fall,fall,fall__falling_20260715_140329_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140329_20hz.csv,30,59,event_metadata,fall_event,True,0.949999988079071,0.6333333253860474,1.5,3.0,,medium,geometry_edge_warning,auto_event_heuristic_v1
62,train,3,fall,fall,fall__falling_20260715_140506_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140506_20hz.csv,0,29,event_metadata,fall_event,True,1.5,1.0,0.0,1.5,,medium,event_near_recording_boundary;weak_height_evidence,auto_event_heuristic_v1
63,train,3,fall,fall,fall__falling_20260715_140506_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140506_20hz.csv,15,44,event_metadata,fall_event,True,0.75,0.5,0.75,2.25,,medium,event_near_recording_boundary;weak_height_evidence,auto_event_heuristic_v1
64,train,3,fall,fall,fall__falling_20260715_140533_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140533_20hz.csv,15,44,event_metadata,fall_event,True,1.100000023841858,0.7333333492279053,0.75,2.25,,medium,geometry_edge_warning,auto_event_heuristic_v1
65,train,3,fall,fall,fall__falling_20260715_140533_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140533_20hz.csv,30,59,event_metadata,fall_event,True,1.5,1.0,1.5,3.0,,medium,geometry_edge_warning,auto_event_heuristic_v1
66,train,3,fall,fall,fall__falling_20260715_140533_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140533_20hz.csv,45,74,event_metadata,fall_event,True,1.0499999523162842,0.699999988079071,2.25,3.75,,medium,geometry_edge_warning,auto_event_heuristic_v1
67,train,1,standing,fall,fall__falling_20260715_140548_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140548_20hz.csv,0,29,event_metadata,pre_event,True,0.0,0.0,0.0,1.5,,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
68,train,3,fall,fall,fall__falling_20260715_140548_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140548_20hz.csv,30,59,event_metadata,fall_event,True,1.0,0.6666666865348816,1.5,3.0,,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
69,train,3,fall,fall,fall__falling_20260715_140548_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140548_20hz.csv,45,74,event_metadata,fall_event,True,1.5,1.0,2.25,3.75,,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
72,train,3,fall,fall,fall__falling_20260715_141456_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141456_20hz.csv,0,29,event_metadata,fall_event,True,0.800000011920929,0.5333333611488342,0.0,1.5,,medium,geometry_edge_warning,auto_event_heuristic_v1
73,train,3,fall,fall,fall__falling_20260715_141456_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141456_20hz.csv,15,44,event_metadata,fall_event,True,1.5,1.0,0.75,2.25,,medium,geometry_edge_warning,auto_event_heuristic_v1
74,train,3,fall,fall,fall__falling_20260715_141456_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141456_20hz.csv,30,59,event_metadata,fall_event,True,1.399999976158142,0.9333333373069763,1.5,3.0,,medium,geometry_edge_warning,auto_event_heuristic_v1
75,train,3,fall,fall,fall__falling_20260715_141624_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141624_20hz.csv,0,29,event_metadata,fall_event,True,0.949999988079071,0.6333333253860474,0.0,1.5,,medium,geometry_edge_warning,auto_event_heuristic_v1
76,train,3,fall,fall,fall__falling_20260715_141624_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141624_20hz.csv,15,44,event_metadata,fall_event,True,1.5,1.0,0.75,2.25,,medium,geometry_edge_warning,auto_event_heuristic_v1
77,train,3,fall,fall,fall__falling_20260715_141624_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141624_20hz.csv,30,59,event_metadata,fall_event,True,0.75,0.5,1.5,3.0,,medium,geometry_edge_warning,auto_event_heuristic_v1
82,train,1,standing,fall,fall__falling_20260715_141826_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141826_20hz.csv,0,29,event_metadata,pre_event,True,0.0,0.0,0.0,1.5,,high,none,auto_event_heuristic_v1
83,train,1,standing,fall,fall__falling_20260715_141826_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141826_20hz.csv,15,44,event_metadata,pre_event,True,0.0,0.0,0.75,2.25,,high,none,auto_event_heuristic_v1
84,train,3,fall,fall,fall__falling_20260715_141826_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141826_20hz.csv,45,74,event_metadata,fall_event,True,1.25,0.8333333134651184,2.25,3.75,,high,none,auto_event_heuristic_v1
85,train,1,standing,fall,fall__falling_20260715_141852_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141852_20hz.csv,0,29,event_metadata,pre_event,True,0.0,0.0,0.0,1.5,,high,none,auto_event_heuristic_v1
86,train,3,fall,fall,fall__falling_20260715_141852_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141852_20hz.csv,30,59,event_metadata,fall_event,True,0.8999999761581421,0.6000000238418579,1.5,3.0,,high,none,auto_event_heuristic_v1
87,train,3,fall,fall,fall__falling_20260715_141852_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141852_20hz.csv,45,74,event_metadata,fall_event,True,1.5,1.0,2.25,3.75,,high,none,auto_event_heuristic_v1
88,train,3,fall,fall,fall__falling_20260715_141852_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141852_20hz.csv,60,89,event_metadata,fall_event,True,1.2999999523162842,0.8666666746139526,3.0,4.5,,high,none,auto_event_heuristic_v1
95,train,1,standing,fall,fall__falling_20260715_142008_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142008_20hz.csv,0,29,event_metadata,pre_event,True,0.0,0.0,0.0,1.5,,high,none,auto_event_heuristic_v1
96,train,1,standing,fall,fall__falling_20260715_142008_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142008_20hz.csv,15,44,event_metadata,pre_event,True,0.0,0.0,0.75,2.25,,high,none,auto_event_heuristic_v1
97,train,3,fall,fall,fall__falling_20260715_142008_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142008_20hz.csv,45,74,event_metadata,fall_event,True,1.399999976158142,0.9333333373069763,2.25,3.75,,high,none,auto_event_heuristic_v1
98,train,3,fall,fall,fall__falling_20260715_142008_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142008_20hz.csv,60,89,event_metadata,fall_event,True,1.399999976158142,0.9333333373069763,3.0,4.5,,high,none,auto_event_heuristic_v1
99,train,3,fall,fall,fall__falling_20260715_142031_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142031_20hz.csv,15,44,event_metadata,fall_event,True,1.350000023841858,0.8999999761581421,0.75,2.25,,high,none,auto_event_heuristic_v1
100,train,3,fall,fall,fall__falling_20260715_142031_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142031_20hz.csv,30,59,event_metadata,fall_event,True,1.5,1.0,1.5,3.0,,high,none,auto_event_heuristic_v1
101,train,3,fall,fall,fall__falling_20260715_142031_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142031_20hz.csv,45,74,event_metadata,fall_event,True,0.8500000238418579,0.5666666626930237,2.25,3.75,,high,none,auto_event_heuristic_v1
102,train,1,standing,fall,fall__falling_20260715_142055_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142055_20hz.csv,0,29,event_metadata,pre_event,True,0.0,0.0,0.0,1.5,,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
103,train,1,standing,fall,fall__falling_20260715_142055_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142055_20hz.csv,15,44,event_metadata,pre_event,True,0.0,0.0,0.75,2.25,,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
104,train,3,fall,fall,fall__falling_20260715_142055_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142055_20hz.csv,45,74,event_metadata,fall_event,True,0.8999999761581421,0.6000000238418579,2.25,3.75,,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
105,train,3,fall,fall,fall__falling_20260715_142055_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142055_20hz.csv,60,89,event_metadata,fall_event,True,1.5,1.0,3.0,4.5,,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
107,train,1,standing,fall,fall__falling_20260715_142600_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142600_20hz.csv,0,29,event_metadata,pre_event,True,0.0,0.0,0.0,1.5,,medium,geometry_edge_warning,auto_event_heuristic_v1
108,train,3,fall,fall,fall__falling_20260715_142600_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142600_20hz.csv,30,59,event_metadata,fall_event,True,0.800000011920929,0.5333333611488342,1.5,3.0,,medium,geometry_edge_warning,auto_event_heuristic_v1
109,train,3,fall,fall,fall__falling_20260715_142600_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142600_20hz.csv,45,74,event_metadata,fall_event,True,1.5,1.0,2.25,3.75,,medium,geometry_edge_warning,auto_event_heuristic_v1
110,train,3,fall,fall,fall__falling_20260715_142600_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142600_20hz.csv,60,89,event_metadata,fall_event,True,1.350000023841858,0.8999999761581421,3.0,4.5,,medium,geometry_edge_warning,auto_event_heuristic_v1
122,train,3,fall,fall,fall__falling_20260715_142944_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142944_20hz.csv,0,29,event_metadata,fall_event,True,0.8999999761581421,0.6000000238418579,0.0,1.5,,medium,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1
123,train,3,fall,fall,fall__falling_20260715_142944_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142944_20hz.csv,15,44,event_metadata,fall_event,True,0.8999999761581421,0.6000000238418579,0.75,2.25,,medium,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1
124,train,3,fall,fall,fall__falling_20260715_143008_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143008_20hz.csv,0,29,event_metadata,fall_event,True,0.75,0.5,0.0,1.5,,medium,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1
125,train,3,fall,fall,fall__falling_20260715_143008_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143008_20hz.csv,15,44,event_metadata,fall_event,True,1.5,1.0,0.75,2.25,,medium,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1
126,train,3,fall,fall,fall__falling_20260715_143008_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143008_20hz.csv,30,59,event_metadata,fall_event,True,1.4500000476837158,0.9666666388511658,1.5,3.0,,medium,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1
127,train,1,standing,fall,fall__falling_20260715_143227_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143227_20hz.csv,0,29,event_metadata,pre_event,True,0.0,0.0,0.0,1.5,,high,none,auto_event_heuristic_v1
128,train,3,fall,fall,fall__falling_20260715_143227_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143227_20hz.csv,30,59,event_metadata,fall_event,True,0.800000011920929,0.5333333611488342,1.5,3.0,,high,none,auto_event_heuristic_v1
129,train,3,fall,fall,fall__falling_20260715_143227_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143227_20hz.csv,45,74,event_metadata,fall_event,True,0.949999988079071,0.6333333253860474,2.25,3.75,,high,none,auto_event_heuristic_v1
130,train,1,standing,fall,fall__falling_20260715_143326_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143326_20hz.csv,0,29,event_metadata,pre_event,True,0.0,0.0,0.0,1.5,,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
131,train,1,standing,fall,fall__falling_20260715_143326_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143326_20hz.csv,15,44,event_metadata,pre_event,True,0.0,0.0,0.75,2.25,,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
132,train,3,fall,fall,fall__falling_20260715_143326_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143326_20hz.csv,45,74,event_metadata,fall_event,True,0.8999999761581421,0.6000000238418579,2.25,3.75,,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
133,train,1,standing,fall,fall__falling_20260715_143341_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143341_20hz.csv,0,29,event_metadata,pre_event,True,0.0,0.0,0.0,1.5,,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
134,train,3,fall,fall,fall__falling_20260715_143341_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143341_20hz.csv,30,59,event_metadata,fall_event,True,1.25,0.8333333134651184,1.5,3.0,,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
137,train,1,standing,fall,fall__falling_20260715_143422_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143422_20hz.csv,0,29,event_metadata,pre_event,True,0.0,0.0,0.0,1.5,,medium,geometry_edge_warning,auto_event_heuristic_v1
138,train,3,fall,fall,fall__falling_20260715_143422_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143422_20hz.csv,30,59,event_metadata,fall_event,True,0.8999999761581421,0.6000000238418579,1.5,3.0,,medium,geometry_edge_warning,auto_event_heuristic_v1
139,train,3,fall,fall,fall__falling_20260717_140851_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_140851_20hz.csv,15,44,event_metadata,fall_event,True,1.399999976158142,0.9333333373069763,0.75,2.25,,medium,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1
140,train,3,fall,fall,fall__falling_20260717_140851_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_140851_20hz.csv,30,59,event_metadata,fall_event,True,1.5,1.0,1.5,3.0,,medium,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1
141,train,3,fall,fall,fall__falling_20260717_140851_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_140851_20hz.csv,45,74,event_metadata,fall_event,True,0.800000011920929,0.5333333611488342,2.25,3.75,,medium,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1
145,train,3,fall,fall,fall__falling_20260717_141137_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141137_20hz.csv,15,44,event_metadata,fall_event,True,1.399999976158142,0.9333333373069763,0.75,2.25,,medium,geometry_edge_warning,auto_event_heuristic_v1
146,train,3,fall,fall,fall__falling_20260717_141137_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141137_20hz.csv,30,59,event_metadata,fall_event,True,1.5,1.0,1.5,3.0,,medium,geometry_edge_warning,auto_event_heuristic_v1
147,train,3,fall,fall,fall__falling_20260717_141137_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141137_20hz.csv,45,74,event_metadata,fall_event,True,0.800000011920929,0.5333333611488342,2.25,3.75,,medium,geometry_edge_warning,auto_event_heuristic_v1
148,train,3,fall,fall,fall__falling_20260717_141220_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141220_20hz.csv,0,29,event_metadata,fall_event,True,0.949999988079071,0.6333333253860474,0.0,1.5,,medium,geometry_edge_warning,auto_event_heuristic_v1
149,train,3,fall,fall,fall__falling_20260717_141220_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141220_20hz.csv,15,44,event_metadata,fall_event,True,1.5,1.0,0.75,2.25,,medium,geometry_edge_warning,auto_event_heuristic_v1
150,train,3,fall,fall,fall__falling_20260717_141220_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141220_20hz.csv,30,59,event_metadata,fall_event,True,1.25,0.8333333134651184,1.5,3.0,,medium,geometry_edge_warning,auto_event_heuristic_v1
151,train,1,standing,fall,fall__falling_20260717_141339_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141339_20hz.csv,0,29,event_metadata,pre_event,True,0.0,0.0,0.0,1.5,,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
152,train,3,fall,fall,fall__falling_20260717_141339_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141339_20hz.csv,30,59,event_metadata,fall_event,True,1.399999976158142,0.9333333373069763,1.5,3.0,,medium,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1
153,train,3,fall,fall,fall__falling_20260717_141634_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141634_20hz.csv,0,29,event_metadata,fall_event,True,1.2000000476837158,0.800000011920929,0.0,1.5,,medium,geometry_edge_warning,auto_event_heuristic_v1
154,train,3,fall,fall,fall__falling_20260717_141634_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141634_20hz.csv,15,44,event_metadata,fall_event,True,1.5,1.0,0.75,2.25,,medium,geometry_edge_warning,auto_event_heuristic_v1
155,train,3,fall,fall,fall__falling_20260717_141634_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141634_20hz.csv,30,59,event_metadata,fall_event,True,1.0,0.6666666865348816,1.5,3.0,,medium,geometry_edge_warning,auto_event_heuristic_v1
157,train,3,fall,fall,fall__falling_20260717_142021_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142021_20hz.csv,0,29,event_metadata,fall_event,True,1.100000023841858,0.7333333492279053,0.0,1.5,,medium,geometry_edge_warning,auto_event_heuristic_v1
158,train,3,fall,fall,fall__falling_20260717_142021_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142021_20hz.csv,15,44,event_metadata,fall_event,True,1.5,1.0,0.75,2.25,,medium,geometry_edge_warning,auto_event_heuristic_v1
159,train,3,fall,fall,fall__falling_20260717_142021_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142021_20hz.csv,30,59,event_metadata,fall_event,True,1.100000023841858,0.7333333492279053,1.5,3.0,,medium,geometry_edge_warning,auto_event_heuristic_v1
160,train,3,fall,fall,fall__falling_20260717_142033_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142033_20hz.csv,0,29,event_metadata,fall_event,True,1.0,0.6666666865348816,0.0,1.5,,medium,geometry_edge_warning,auto_event_heuristic_v1
161,train,1,standing,fall,fall__falling_20260717_142102_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142102_20hz.csv,0,29,event_metadata,pre_event,True,0.0,0.0,0.0,1.5,,medium,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1
162,train,3,fall,fall,fall__falling_20260717_142102_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142102_20hz.csv,15,44,event_metadata,fall_event,True,0.75,0.5,0.75,2.25,,medium,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1
163,train,3,fall,fall,fall__falling_20260717_142102_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142102_20hz.csv,30,59,event_metadata,fall_event,True,1.5,1.0,1.5,3.0,,medium,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1
164,train,3,fall,fall,fall__falling_20260717_142102_20hz,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142102_20hz.csv,45,74,event_metadata,fall_event,True,1.4500000476837158,0.9666666388511658,2.25,3.75,,medium,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1
