source_session_id,canonical_label,canonical_label_id,source_activity,outer_fold,split_protocol,source_csv,session_window_count,walking_windows,standing_windows,sitting_windows,fall_windows
falling_20260714_161551_20hz,fall,3,fall,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161551_20hz.csv,3,0,1,0,2
falling_20260714_161632_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260714_161632_20hz.csv,3,0,0,0,3
falling_20260715_135643_20hz,fall,3,fall,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135643_20hz.csv,3,0,2,0,1
falling_20260715_135656_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135656_20hz.csv,1,0,1,0,0
falling_20260715_135739_20hz,fall,3,fall,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135739_20hz.csv,4,0,2,0,2
falling_20260715_135815_20hz,fall,3,fall,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135815_20hz.csv,2,0,2,0,0
falling_20260715_135901_20hz,fall,3,fall,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135901_20hz.csv,1,0,1,0,0
falling_20260715_135915_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_135915_20hz.csv,1,0,0,0,1
falling_20260715_140019_20hz,fall,3,fall,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140019_20hz.csv,3,0,0,0,3
falling_20260715_140220_20hz,fall,3,fall,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140220_20hz.csv,3,0,0,0,3
falling_20260715_140305_20hz,fall,3,fall,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140305_20hz.csv,1,0,0,0,1
falling_20260715_140329_20hz,fall,3,fall,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140329_20hz.csv,3,0,0,0,3
falling_20260715_140506_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140506_20hz.csv,2,0,0,0,2
falling_20260715_140533_20hz,fall,3,fall,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140533_20hz.csv,3,0,0,0,3
falling_20260715_140548_20hz,fall,3,fall,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140548_20hz.csv,3,0,1,0,2
falling_20260715_140602_20hz,fall,3,fall,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_140602_20hz.csv,2,0,2,0,0
falling_20260715_141456_20hz,fall,3,fall,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141456_20hz.csv,3,0,0,0,3
falling_20260715_141624_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141624_20hz.csv,3,0,0,0,3
falling_20260715_141756_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141756_20hz.csv,4,0,2,0,2
falling_20260715_141826_20hz,fall,3,fall,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141826_20hz.csv,3,0,2,0,1
falling_20260715_141852_20hz,fall,3,fall,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141852_20hz.csv,4,0,1,0,3
falling_20260715_141918_20hz,fall,3,fall,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141918_20hz.csv,3,0,1,0,2
falling_20260715_141936_20hz,fall,3,fall,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_141936_20hz.csv,3,0,0,0,3
falling_20260715_142008_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142008_20hz.csv,4,0,2,0,2
falling_20260715_142031_20hz,fall,3,fall,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142031_20hz.csv,3,0,0,0,3
falling_20260715_142055_20hz,fall,3,fall,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142055_20hz.csv,4,0,2,0,2
falling_20260715_142152_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142152_20hz.csv,1,0,0,0,1
falling_20260715_142600_20hz,fall,3,fall,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142600_20hz.csv,4,0,1,0,3
falling_20260715_142652_20hz,fall,3,fall,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142652_20hz.csv,4,0,1,0,3
falling_20260715_142728_20hz,fall,3,fall,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142728_20hz.csv,4,0,1,0,3
falling_20260715_142807_20hz,fall,3,fall,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142807_20hz.csv,3,0,0,0,3
falling_20260715_142944_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_142944_20hz.csv,2,0,0,0,2
falling_20260715_143008_20hz,fall,3,fall,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143008_20hz.csv,3,0,0,0,3
falling_20260715_143227_20hz,fall,3,fall,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143227_20hz.csv,3,0,1,0,2
falling_20260715_143326_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143326_20hz.csv,3,0,2,0,1
falling_20260715_143341_20hz,fall,3,fall,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143341_20hz.csv,2,0,1,0,1
falling_20260715_143405_20hz,fall,3,fall,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143405_20hz.csv,2,0,2,0,0
falling_20260715_143422_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260715_143422_20hz.csv,2,0,1,0,1
falling_20260717_140851_20hz,fall,3,fall,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_140851_20hz.csv,3,0,0,0,3
falling_20260717_140959_20hz,fall,3,fall,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_140959_20hz.csv,3,0,0,0,3
falling_20260717_141137_20hz,fall,3,fall,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141137_20hz.csv,3,0,0,0,3
falling_20260717_141220_20hz,fall,3,fall,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141220_20hz.csv,3,0,0,0,3
falling_20260717_141339_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141339_20hz.csv,2,0,1,0,1
falling_20260717_141634_20hz,fall,3,fall,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141634_20hz.csv,3,0,0,0,3
falling_20260717_141837_20hz,fall,3,fall,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_141837_20hz.csv,1,0,1,0,0
falling_20260717_142021_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142021_20hz.csv,3,0,0,0,3
falling_20260717_142033_20hz,fall,3,fall,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142033_20hz.csv,1,0,0,0,1
falling_20260717_142102_20hz,fall,3,fall,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142102_20hz.csv,4,0,1,0,3
falling_20260717_142243_20hz,fall,3,fall,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142243_20hz.csv,2,0,0,0,2
falling_20260717_142341_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142341_20hz.csv,2,0,0,0,2
falling_20260717_142423_20hz,fall,3,fall,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142423_20hz.csv,3,0,0,0,3
falling_20260717_142618_20hz,fall,3,fall,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142618_20hz.csv,3,0,0,0,3
falling_20260717_142754_20hz,fall,3,fall,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142754_20hz.csv,3,0,0,0,3
falling_20260717_142808_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142808_20hz.csv,3,0,0,0,3
falling_20260717_142825_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_142825_20hz.csv,3,0,3,0,0
falling_20260717_143032_20hz,fall,3,fall,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_143032_20hz.csv,1,0,0,0,1
falling_20260717_143219_20hz,fall,3,fall,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_143219_20hz.csv,3,0,0,0,3
falling_20260717_143235_20hz,fall,3,fall,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_143235_20hz.csv,3,0,0,0,3
falling_20260717_144138_20hz,fall,3,fall,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_144138_20hz.csv,4,0,1,0,3
falling_20260717_144308_20hz,fall,3,fall,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/falling_20260717_144308_20hz.csv,2,0,0,0,2
sitting_20260714_132627_20hz,sitting,2,sitting,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132627_20hz.csv,5,0,0,5,0
sitting_20260714_132742_20hz,sitting,2,sitting,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132742_20hz.csv,5,0,0,5,0
sitting_20260714_132755_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132755_20hz.csv,5,0,0,5,0
sitting_20260714_132815_20hz,sitting,2,sitting,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132815_20hz.csv,5,0,0,5,0
sitting_20260714_132832_20hz,sitting,2,sitting,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132832_20hz.csv,5,0,0,5,0
sitting_20260714_132843_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132843_20hz.csv,5,0,0,5,0
sitting_20260714_132855_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132855_20hz.csv,5,0,0,5,0
sitting_20260714_132908_20hz,sitting,2,sitting,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132908_20hz.csv,5,0,0,5,0
sitting_20260714_132919_20hz,sitting,2,sitting,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132919_20hz.csv,5,0,0,5,0
sitting_20260714_132930_20hz,sitting,2,sitting,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_132930_20hz.csv,5,0,0,5,0
sitting_20260714_133248_20hz,sitting,2,sitting,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133248_20hz.csv,5,0,0,5,0
sitting_20260714_133300_20hz,sitting,2,sitting,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133300_20hz.csv,5,0,0,5,0
sitting_20260714_133310_20hz,sitting,2,sitting,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133310_20hz.csv,5,0,0,5,0
sitting_20260714_133320_20hz,sitting,2,sitting,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133320_20hz.csv,5,0,0,5,0
sitting_20260714_133331_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133331_20hz.csv,5,0,0,5,0
sitting_20260714_133341_20hz,sitting,2,sitting,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133341_20hz.csv,5,0,0,5,0
sitting_20260714_133400_20hz,sitting,2,sitting,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133400_20hz.csv,5,0,0,5,0
sitting_20260714_133416_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133416_20hz.csv,5,0,0,5,0
sitting_20260714_133425_20hz,sitting,2,sitting,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133425_20hz.csv,5,0,0,5,0
sitting_20260714_133632_20hz,sitting,2,sitting,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133632_20hz.csv,5,0,0,5,0
sitting_20260714_133641_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133641_20hz.csv,5,0,0,5,0
sitting_20260714_133652_20hz,sitting,2,sitting,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133652_20hz.csv,5,0,0,5,0
sitting_20260714_133702_20hz,sitting,2,sitting,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133702_20hz.csv,5,0,0,5,0
sitting_20260714_133712_20hz,sitting,2,sitting,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133712_20hz.csv,4,0,0,4,0
sitting_20260714_133722_20hz,sitting,2,sitting,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133722_20hz.csv,5,0,0,5,0
sitting_20260714_133732_20hz,sitting,2,sitting,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133732_20hz.csv,5,0,0,5,0
sitting_20260714_133750_20hz,sitting,2,sitting,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133750_20hz.csv,5,0,0,5,0
sitting_20260714_133800_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133800_20hz.csv,5,0,0,5,0
sitting_20260714_133810_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133810_20hz.csv,5,0,0,5,0
sitting_20260714_133940_20hz,sitting,2,sitting,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_133940_20hz.csv,4,0,0,4,0
sitting_20260714_134228_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134228_20hz.csv,5,0,0,5,0
sitting_20260714_134237_20hz,sitting,2,sitting,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134237_20hz.csv,5,0,0,5,0
sitting_20260714_134257_20hz,sitting,2,sitting,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134257_20hz.csv,4,0,0,4,0
sitting_20260714_134510_20hz,sitting,2,sitting,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134510_20hz.csv,5,0,0,5,0
sitting_20260714_134524_20hz,sitting,2,sitting,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134524_20hz.csv,5,0,0,5,0
sitting_20260714_134543_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134543_20hz.csv,5,0,0,5,0
sitting_20260714_134554_20hz,sitting,2,sitting,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134554_20hz.csv,5,0,0,5,0
sitting_20260714_134637_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134637_20hz.csv,5,0,0,5,0
sitting_20260714_134648_20hz,sitting,2,sitting,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134648_20hz.csv,5,0,0,5,0
sitting_20260714_134700_20hz,sitting,2,sitting,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134700_20hz.csv,5,0,0,5,0
sitting_20260714_134718_20hz,sitting,2,sitting,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134718_20hz.csv,5,0,0,5,0
sitting_20260714_134801_20hz,sitting,2,sitting,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134801_20hz.csv,5,0,0,5,0
sitting_20260714_134816_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134816_20hz.csv,5,0,0,5,0
sitting_20260714_134827_20hz,sitting,2,sitting,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134827_20hz.csv,5,0,0,5,0
sitting_20260714_134839_20hz,sitting,2,sitting,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134839_20hz.csv,5,0,0,5,0
sitting_20260714_134849_20hz,sitting,2,sitting,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134849_20hz.csv,5,0,0,5,0
sitting_20260714_134900_20hz,sitting,2,sitting,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134900_20hz.csv,5,0,0,5,0
sitting_20260714_134910_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134910_20hz.csv,5,0,0,5,0
sitting_20260714_134921_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134921_20hz.csv,5,0,0,5,0
sitting_20260714_134931_20hz,sitting,2,sitting,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134931_20hz.csv,5,0,0,5,0
sitting_20260714_134941_20hz,sitting,2,sitting,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_134941_20hz.csv,5,0,0,5,0
sitting_20260714_135007_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135007_20hz.csv,5,0,0,5,0
sitting_20260714_135038_20hz,sitting,2,sitting,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135038_20hz.csv,4,0,0,4,0
sitting_20260714_135049_20hz,sitting,2,sitting,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135049_20hz.csv,5,0,0,5,0
sitting_20260714_135059_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135059_20hz.csv,4,0,0,4,0
sitting_20260714_135211_20hz,sitting,2,sitting,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135211_20hz.csv,5,0,0,5,0
sitting_20260714_135220_20hz,sitting,2,sitting,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135220_20hz.csv,5,0,0,5,0
sitting_20260714_135230_20hz,sitting,2,sitting,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135230_20hz.csv,5,0,0,5,0
sitting_20260714_135240_20hz,sitting,2,sitting,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135240_20hz.csv,5,0,0,5,0
sitting_20260714_135250_20hz,sitting,2,sitting,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135250_20hz.csv,5,0,0,5,0
sitting_20260714_135331_20hz,sitting,2,sitting,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135331_20hz.csv,5,0,0,5,0
sitting_20260714_135345_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135345_20hz.csv,5,0,0,5,0
sitting_20260714_135404_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135404_20hz.csv,5,0,0,5,0
sitting_20260714_135414_20hz,sitting,2,sitting,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135414_20hz.csv,5,0,0,5,0
sitting_20260714_135432_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135432_20hz.csv,5,0,0,5,0
sitting_20260714_135735_20hz,sitting,2,sitting,3,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135735_20hz.csv,5,0,0,5,0
sitting_20260714_135748_20hz,sitting,2,sitting,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135748_20hz.csv,5,0,0,5,0
sitting_20260714_135758_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135758_20hz.csv,5,0,0,5,0
sitting_20260714_135808_20hz,sitting,2,sitting,1,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135808_20hz.csv,5,0,0,5,0
sitting_20260714_135817_20hz,sitting,2,sitting,4,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135817_20hz.csv,5,0,0,5,0
sitting_20260714_135830_20hz,sitting,2,sitting,2,sgkf_grouped_20260731_seed42_k4,data/staging/20260731_rebuild01/cleaned_csv/sitting_20260714_135830_20hz.csv,5,0,0,5,0
