session_id,activity,start_state,event_start_s,impact_s,event_end_s,end_state,distance_m_inferred,distance_band_inferred,direction_inferred,confidence,auto_include_in_training,quality_flags,method_version,method_summary
falling_20260714_161608_20hz,fall,standing,1.3,2.4,2.95,unknown,1.995,near,right,low,False,event_near_recording_boundary;high_cleaning_drop=40.0%;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260714_161632_20hz,fall,standing,1.15,2.25,3.35,lying,2.124,middle,right,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260714_161708_20hz,fall,unknown,0.0,0.2,0.8,lying,1.165,near,unknown,low,False,event_near_recording_boundary;geometry_edge_warning;weak_height_evidence;weak_motion_peak,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260714_161723_20hz,fall,unknown,0.0,0.2,0.8,lying,1.165,near,unknown,low,False,event_near_recording_boundary;geometry_edge_warning;weak_height_evidence;weak_motion_peak,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260714_161735_20hz,fall,unknown,0.0,0.2,0.8,lying,1.294,near,unknown,low,False,event_near_recording_boundary;geometry_edge_warning;weak_height_evidence;weak_motion_peak,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_135643_20hz,fall,standing,2.35,2.75,3.75,lying,1.95,near,right,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_135656_20hz,fall,standing,2.15,3.25,4.0,unknown,1.616,near,right,medium,True,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;multiple_or_broad_peaks;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_135739_20hz,fall,standing,2.45,3.0,4.0,lying,1.694,near,right,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_135800_20hz,fall,standing,0.0,0.4,1.4,lying,2.07,middle,right,medium,True,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_135815_20hz,fall,standing,2.35,3.45,4.35,unknown,1.686,near,left,medium,True,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_135901_20hz,fall,standing,2.05,3.15,4.25,lying,2.084,middle,unknown,medium,True,geometry_edge_warning;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_135915_20hz,fall,standing,0.85,1.45,1.95,lying,2.219,middle,backward,medium,True,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_140019_20hz,fall,standing,0.5,1.6,2.7,lying,2.221,middle,left,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_140033_20hz,fall,standing,0.05,1.15,2.25,lying,2.112,middle,right,medium,True,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_140205_20hz,fall,standing,0.0,1.1,2.1,lying,2.25,middle,right,medium,True,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_140220_20hz,fall,standing,0.9,2.0,3.1,lying,2.382,middle,left,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_140305_20hz,fall,standing,1.2,1.7,2.2,lying,0.842,near,right,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_140329_20hz,fall,standing,0.25,1.35,2.45,lying,1.341,near,right,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_140350_20hz,fall,standing,1.2,2.3,3.35,unknown,2.097,middle,right,medium,True,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_140506_20hz,fall,standing,0.0,0.5,1.5,unknown,1.495,near,backward,medium,True,event_near_recording_boundary;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_140520_20hz,fall,standing,0.0,0.35,0.75,lying,1.195,near,left,low,False,event_duration_outside_target;event_near_recording_boundary,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_140533_20hz,fall,standing,1.15,2.8,3.3,lying,1.448,near,left,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_140548_20hz,fall,standing,2.0,3.8,4.15,unknown,1.63,near,left,medium,True,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_140602_20hz,fall,standing,2.9,4.05,4.6,unknown,1.772,near,right,medium,True,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_141456_20hz,fall,standing,0.7,1.8,2.9,lying,2.738,middle,backward,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_141607_20hz,fall,standing,0.1,0.6,1.1,lying,2.389,middle,backward,medium,True,event_near_recording_boundary;geometry_edge_warning;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_141624_20hz,fall,standing,0.55,1.5,2.25,lying,2.12,middle,backward,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_141756_20hz,fall,standing,2.35,2.85,4.05,lying,1.668,near,forward,high,True,none,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_141826_20hz,fall,standing,2.35,3.1,3.6,lying,1.979,near,right,high,True,none,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_141852_20hz,fall,standing,2.1,3.2,4.3,lying,3.43,far,left,high,True,none,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_141918_20hz,fall,standing,2.15,2.65,3.65,lying,2.942,middle,left,high,True,none,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_141936_20hz,fall,standing,1.3,2.4,3.5,lying,1.806,near,right,high,True,none,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_142008_20hz,fall,standing,2.35,3.95,4.4,lying,2.944,middle,left,high,True,none,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_142031_20hz,fall,standing,0.9,2.0,3.1,lying,1.605,near,right,high,True,none,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_142055_20hz,fall,standing,2.85,4.75,4.95,unknown,2.462,middle,backward,medium,True,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_142152_20hz,fall,standing,0.25,0.65,1.2,lying,1.946,near,right,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_142600_20hz,fall,standing,2.2,3.85,4.35,lying,1.503,near,forward,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_142652_20hz,fall,standing,1.5,2.6,3.7,lying,2.264,middle,right,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_142712_20hz,fall,standing,0.0,0.85,2.2,lying,1.917,near,right,medium,True,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_142728_20hz,fall,standing,1.6,2.7,3.8,lying,1.831,near,right,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_142807_20hz,fall,standing,1.4,2.5,3.6,lying,2.109,middle,right,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_142831_20hz,fall,standing,0.05,0.55,1.15,lying,1.274,near,forward,medium,True,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_142944_20hz,fall,standing,0.6,1.05,1.65,lying,1.919,near,forward,medium,True,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_143008_20hz,fall,standing,0.75,1.85,2.95,lying,1.579,near,right,medium,True,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_143227_20hz,fall,standing,2.2,2.7,3.2,lying,2.862,middle,backward,high,True,none,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_143326_20hz,fall,standing,2.85,3.4,4.15,unknown,1.299,near,right,medium,True,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_143341_20hz,fall,standing,1.75,2.85,3.25,unknown,1.486,near,right,medium,True,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_143405_20hz,fall,standing,2.55,3.05,3.6,unknown,1.168,near,left,medium,True,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_143422_20hz,fall,standing,2.1,2.55,3.55,lying,1.297,near,right,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260715_143444_20hz,fall,standing,0.2,1.3,1.45,unknown,1.202,near,left,low,False,event_near_recording_boundary;geometry_edge_warning;high_cleaning_drop=70.0%;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_140851_20hz,fall,standing,0.85,1.95,3.05,lying,2.327,middle,right,medium,True,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_140918_20hz,fall,standing,0.0,0.3,1.75,lying,2.007,middle,left,low,False,event_near_recording_boundary;geometry_edge_warning;high_cleaning_drop=43.0%,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_140959_20hz,fall,standing,0.95,2.05,3.15,lying,2.131,middle,forward,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_141015_20hz,fall,standing,0.15,0.65,1.1,lying,1.811,near,right,medium,True,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_141137_20hz,fall,standing,0.85,1.95,3.05,lying,2.421,middle,left,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_141220_20hz,fall,standing,0.55,1.65,2.75,lying,2.479,middle,right,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_141339_20hz,fall,standing,1.6,2.7,3.4,unknown,2.766,middle,backward,medium,True,event_near_recording_boundary;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_141506_20hz,fall,standing,0.0,0.8,1.8,lying,1.922,near,forward,medium,True,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_141553_20hz,fall,standing,0.0,0.55,1.55,lying,1.811,near,forward,medium,True,event_near_recording_boundary;geometry_edge_warning;high_cleaning_drop=40.0%,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_141621_20hz,fall,standing,0.0,1.2,2.2,lying,1.804,near,right,medium,True,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_141634_20hz,fall,standing,0.3,1.4,2.5,lying,1.402,near,forward,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_141837_20hz,fall,standing,2.1,3.2,4.3,lying,2.364,middle,forward,medium,True,geometry_edge_warning;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_142021_20hz,fall,standing,0.4,1.5,2.6,lying,1.851,near,forward,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_142033_20hz,fall,standing,0.3,0.8,1.3,lying,1.772,near,left,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_142102_20hz,fall,standing,1.5,2.6,3.7,lying,1.632,near,forward,medium,True,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_142207_20hz,fall,standing,0.0,0.35,0.85,lying,1.445,near,forward,medium,True,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_142243_20hz,fall,standing,0.45,0.75,2.1,lying,2.844,middle,right,high,True,none,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
